species,tag.id,sex,length.cm
Xyrichtys novacula,E2F6,M,21.7
Xyrichtys novacula,C2E4,M,21.4
Xyrichtys novacula,DC1F,M,21.4
Xyrichtys novacula,CFF4,M,21.3
Xyrichtys novacula,137B,M,21.3
Xyrichtys novacula,D488,M,21
Xyrichtys novacula,9281,M,21
Xyrichtys novacula,00EA,M,21
Xyrichtys novacula,1DCD,M,20.9
Xyrichtys novacula,DB27,M,20.8
Xyrichtys novacula,FE0D,M,20.8
Xyrichtys novacula,7231,M,20.7
Xyrichtys novacula,6C1B,M,20.6
Xyrichtys novacula,7C8F,M,20.6
Xyrichtys novacula,A927,M,20.6
Xyrichtys novacula,6A1C,M,20.5
Xyrichtys novacula,DF6E,M,20.5
Xyrichtys novacula,23EB,M,20.4
Xyrichtys novacula,0DEC,M,20.4
Xyrichtys novacula,37DB,M,20.2
Xyrichtys novacula,1211,M,20.1
Xyrichtys novacula,D6E5,M,20.1
Xyrichtys novacula,347C,M,20.1
Xyrichtys novacula,D611,M,20
Xyrichtys novacula,904F,M,20
Xyrichtys novacula,0262,M,20
Xyrichtys novacula,48EC,M,20
Xyrichtys novacula,F1E7,M,19.8
Xyrichtys novacula,EA42,M,19.7
Xyrichtys novacula,A1DE,M,19.7
Xyrichtys novacula,A3A8,M,19.7
Xyrichtys novacula,96F3,M,19.7
Xyrichtys novacula,99A4,M,19.6
Xyrichtys novacula,50A3,M,19.6
Xyrichtys novacula,7A4B,M,19.5
Xyrichtys novacula,C8BA,M,19.4
Xyrichtys novacula,C19D,M,19.3
Xyrichtys novacula,92F9,M,19.3
Xyrichtys novacula,751C,M,19.3
Xyrichtys novacula,C397,M,19.2
Xyrichtys novacula,266F,M,19
Xyrichtys novacula,444E,M,18.8
Xyrichtys novacula,6B03,M,18.8
Xyrichtys novacula,A9BE,M,18.8
Xyrichtys novacula,FEE7,M,18.7
Xyrichtys novacula,BC5F,M,18.7
Xyrichtys novacula,B3EE,M,18.6
Xyrichtys novacula,5446,M,18.3
Xyrichtys novacula,1554,M,18.2
Xyrichtys novacula,4EAB,M,18.2
Xyrichtys novacula,3228,M,18.1
Xyrichtys novacula,EDD8,M,17.9
Xyrichtys novacula,4A1D,M,17.9
Xyrichtys novacula,ECE3,M,17.8
Xyrichtys novacula,B034,M,17.7
Xyrichtys novacula,BA3C,M,17.6
Xyrichtys novacula,7A27,M,17.6
Xyrichtys novacula,6329,M,17.1
Xyrichtys novacula,5E9D,M,17
Xyrichtys novacula,8B25,M,16.8
Xyrichtys novacula,E1C7,M,16.3
Xyrichtys novacula,5E29,F,16.9
Xyrichtys novacula,FB4B,F,16.8
Xyrichtys novacula,BDB2,F,16.7
Xyrichtys novacula,940A,F,16.6
